rank,program,broadcast,rate,category,date
5,슬기로운의사생활,tvN,2.338,케이블,20200415
6,유퀴즈온더블럭<본>,tvN,2.324,케이블,20200415
7,선택415제21대총선4부,연합뉴스TV,2.276,케이블,20200415
8,슬기로운의사생활,tvN,2.266,케이블,20200415
9,슬기로운의사생활,tvN,2.240,케이블,20200415
10,민심2020국회의원총선거,YTN,2.088,케이블,20200415
1,슬기로운의사생활<본>,tvN,13.783,케이블,20200416
2,슬기로운의사생활,tvN,3.635,케이블,20200416
3,수목드라마(메모리스트<본>),tvN,3.291,케이블,20200416
4,선택415제21대총선,연합뉴스TV,2.607,케이블,20200416
5,민심2020국회의원총선거,YTN,2.590,케이블,20200416
6,민심2020국회의원총선거,YTN,2.553,케이블,20200416
7,민심2020국회의원총선거,YTN,2.495,케이블,20200416
8,어서와한국은처음이지,MBC every1,2.305,케이블,20200416
9,선택415제21대총선,연합뉴스TV,2.258,케이블,20200416
10,민심2020국회의원총선거,YTN,2.228,케이블,20200416
1,김창옥쇼괜찮아고마워수고했어<본>,tvN,4.503,케이블,20200417
2,YTN뉴스특보,YTN,2.971,케이블,20200417
3,슬기로운의사생활,tvN,2.858,케이블,20200417
4,슬기로운의사생활,tvN,2.801,케이블,20200417
5,YTN뉴스특보,YTN,2.714,케이블,20200417
6,YTN뉴스특보,YTN,2.255,케이블,20200417
7,뉴스특보코로나19COVID19,연합뉴스TV,1.879,케이블,20200417
8,YTN뉴스특보,YTN,1.718,케이블,20200417
9,신청곡을불러드립니다사랑의콜센타스페셜에디션,TV CHOSUN2,1.716,케이블,20200417
10,전무후무한특종랭킹프리한19,tvN,1.713,케이블,20200417
1,토일드라마(하이바이마마<본>),tvN,5.178,케이블,20200418
2,놀라운토요일예능신대륙발견<본>,tvN,3.642,케이블,20200418
3,뉴스특보코로나19COVID19,연합뉴스TV,2.416,케이블,20200418
4,YTN뉴스특보,YTN,2.413,케이블,20200418
5,YTN뉴스특보,YTN,2.390,케이블,20200418
6,YTN뉴스특보,YTN,2.249,케이블,20200418
7,YTN뉴스특보,YTN,2.229,케이블,20200418
8,뉴스특보코로나19COVID19,연합뉴스TV,2.219,케이블,20200418
9,YTN뉴스특보,YTN,2.198,케이블,20200418
10,슬기로운의사생활,tvN,2.113,케이블,20200418
1,토일드라마(하이바이마마<본>),tvN,5.737,케이블,20200419
2,슬기로운의사생활,tvN,3.062,케이블,20200419
3,어쩌다어른다시보는명강의,tvN,2.956,케이블,20200419
4,루갈<본>,OCN,2.921,케이블,20200419
5,코미디빅리그<본>,tvN,2.438,케이블,20200419
6,YTN뉴스특보,YTN,2.390,케이블,20200419
7,CASHBACK잡으면돈이된다<본>,tvN,2.296,케이블,20200419
8,부부의세계,JTBC2,2.142,케이블,20200419
9,명품리포트맥,연합뉴스TV,2.113,케이블,20200419
10,뉴스특보코로나19COVID19,연합뉴스TV,2.064,케이블,20200419
1,요즘책방책읽어드립니다<본>,tvN,3.838,케이블,20200420
2,뉴스투나잇1부,연합뉴스TV,2.169,케이블,20200420
3,YTN뉴스특보,YTN,1.999,케이블,20200420
4,뉴스특보코로나19COVID19,연합뉴스TV,1.915,케이블,20200420
5,뉴스특보코로나19COVID19,연합뉴스TV,1.880,케이블,20200420
6,YTN뉴스특보,YTN,1.722,케이블,20200420
7,YTN뉴스특보,YTN,1.673,케이블,20200420
8,YTN뉴스특보,YTN,1.581,케이블,20200420
9,뉴스특보코로나19COVID19,연합뉴스TV,1.580,케이블,20200420
10,YTN뉴스특보,YTN,1.547,케이블,20200420
1,YTN뉴스특보,YTN,2.227,케이블,20200421
2,YTN뉴스특보,YTN,2.122,케이블,20200421
3,YTN뉴스특보,YTN,2.099,케이블,20200421
4,수미네반찬<본>,tvN,1.947,케이블,20200421
5,뉴스투나잇1부,연합뉴스TV,1.919,케이블,20200421
6,연합뉴스TV뉴스24,연합뉴스TV,1.894,케이블,20200421
7,뉴스특보코로나19COVID19,연합뉴스TV,1.804,케이블,20200421
8,뉴스특보코로나19COVID19,연합뉴스TV,1.726,케이블,20200421
9,뉴스특보코로나19COVID19,연합뉴스TV,1.720,케이블,20200421
10,YTN뉴스특보,YTN,1.692,케이블,20200421
1,유퀴즈온더블럭<본>,tvN,2.788,케이블,20200422
2,수미네반찬,tvN,2.553,케이블,20200422
3,뉴스특보코로나19COVID19,연합뉴스TV,2.376,케이블,20200422
4,수목드라마(메모리스트<본>),tvN,2.273,케이블,20200422
5,뉴스특보코로나19COVID19,연합뉴스TV,2.079,케이블,20200422
6,뉴스특보코로나19COVID19,연합뉴스TV,2.066,케이블,20200422
7,뉴스특보코로나19COVID19,연합뉴스TV,2.033,케이블,20200422
8,YTN뉴스특보,YTN,1.713,케이블,20200422
9,뉴스특보코로나19COVID19,연합뉴스TV,1.650,케이블,20200422
10,뉴스투나잇2부,연합뉴스TV,1.626,케이블,20200422
1,슬기로운의사생활<본>,tvN,13.864,케이블,20200423
2,슬기로운의사생활,tvN,3.022,케이블,20200423
3,수목드라마(메모리스트<본>),tvN,2.403,케이블,20200423
4,뉴스특보코로나19COVID19,연합뉴스TV,1.945,케이블,20200423
5,YTN뉴스특보,YTN,1.919,케이블,20200423
6,뉴스특보코로나19COVID19,연합뉴스TV,1.838,케이블,20200423
7,어서와한국은처음이지,MBC every1,1.790,케이블,20200423
8,뉴스특보코로나19COVID19,연합뉴스TV,1.736,케이블,20200423
9,뉴스특보코로나19COVID19,연합뉴스TV,1.689,케이블,20200423
10,YTN뉴스특보,YTN,1.625,케이블,20200423
1,자급자족어부라이프삼시세끼스페셜슬기로운어촌생활<본>,tvN,3.251,케이블,20200424
2,김창옥쇼괜찮아고마워수고했어<본>,tvN,2.623,케이블,20200424
3,슬기로운의사생활,tvN,2.201,케이블,20200424
4,뉴스특보코로나19COVID19,연합뉴스TV,1.849,케이블,20200424
5,뉴스투나잇1부,연합뉴스TV,1.834,케이블,20200424
6,슬기로운의사생활,tvN,1.785,케이블,20200424
7,YTN뉴스특보,YTN,1.721,케이블,20200424
8,뉴스특보코로나19COVID19,연합뉴스TV,1.714,케이블,20200424
9,YTN뉴스특보,YTN,1.698,케이블,20200424
10,부부의세계,JTBC2,1.542,케이블,20200424
1,토일드라마(화양연화삶이꽃이되는순간<본>),tvN,6.297,케이블,20200425
2,놀라운토요일예능신대륙발견<본>,tvN,3.043,케이블,20200425
3,슬기로운의사생활,tvN,2.266,케이블,20200425
4,YTN뉴스특보,YTN,2.190,케이블,20200425
5,뉴스특보코로나19COVID19,연합뉴스TV,2.168,케이블,20200425
6,YTN뉴스특보,YTN,2.163,케이블,20200425
7,YTN뉴스특보,YTN,2.102,케이블,20200425
8,YTN뉴스특보,YTN,2.087,케이블,20200425
9,뉴스특보코로나19COVID19,연합뉴스TV,2.054,케이블,20200425
10,YTN뉴스속보,YTN,1.988,케이블,20200425
1,토일드라마(화양연화삶이꽃이되는순간<본>),tvN,5.670,케이블,20200426
2,YTN뉴스특보,YTN,2.583,케이블,20200426
3,뉴스특보코로나19COVID19,연합뉴스TV,2.425,케이블,20200426
4,명품리포트맥,연합뉴스TV,2.413,케이블,20200426
5,뉴스특보코로나19COVID19,연합뉴스TV,2.343,케이블,20200426
6,뉴스특보코로나19COVID19,연합뉴스TV,2.338,케이블,20200426
7,루갈<본>,OCN,2.318,케이블,20200426
8,연합뉴스TV스페셜,연합뉴스TV,2.267,케이블,20200426
9,코미디빅리그<본>,tvN,2.217,케이블,20200426
10,YTN뉴스특보,YTN,2.120,케이블,20200426
1,요즘책방책읽어드립니다<본>,tvN,2.932,케이블,20200427
2,뉴스특보코로나19COVID19,연합뉴스TV,2.194,케이블,20200427
3,뉴스투나잇1부,연합뉴스TV,1.917,케이블,20200427
4,라이브투데이,연합뉴스TV,1.801,케이블,20200427
5,뉴스메이커,연합뉴스TV,1.776,케이블,20200427
6,뉴스특보코로나19COVID19,연합뉴스TV,1.703,케이블,20200427
7,뉴스특보코로나19COVID19,연합뉴스TV,1.633,케이블,20200427
8,YTN뉴스특보,YTN,1.607,케이블,20200427
9,YTN뉴스특보,YTN,1.497,케이블,20200427
10,YTN뉴스특보,YTN,1.492,케이블,20200427
1,수미네반찬<본>,tvN,2.215,케이블,20200428
2,YTN뉴스특보,YTN,2.040,케이블,20200428
3,뉴스투나잇1부,연합뉴스TV,1.856,케이블,20200428
4,출발640,연합뉴스TV,1.555,케이블,20200428
5,월화드라마(반의반<본>),tvN,1.535,케이블,20200428
6,뉴스특보코로나19COVID19,연합뉴스TV,1.505,케이블,20200428
7,YTN뉴스특보,YTN,1.456,케이블,20200428
8,연합뉴스TV뉴스24,연합뉴스TV,1.445,케이블,20200428
8,뉴스특보코로나19COVID19,연합뉴스TV,1.445,케이블,20200428
10,뉴스리뷰,연합뉴스TV,1.436,케이블,20200428
1,유퀴즈온더블럭<본>,tvN,2.815,케이블,20200429
2,수목드라마(메모리스트<본>),tvN,2.195,케이블,20200429
3,연합뉴스TV뉴스24,연합뉴스TV,2.091,케이블,20200429
4,YTN뉴스특보,YTN,1.778,케이블,20200429
5,뉴스투나잇2부,연합뉴스TV,1.744,케이블,20200429
6,YTN뉴스특보,YTN,1.742,케이블,20200429
7,수미네반찬,tvN,1.667,케이블,20200429
8,라이브투데이,연합뉴스TV,1.623,케이블,20200429
9,YTN뉴스특보,YTN,1.606,케이블,20200429
10,뉴스특보코로나19COVID19,연합뉴스TV,1.604,케이블,20200429
1,슬기로운의사생활<본>,tvN,13.489,케이블,20200430
2,수목드라마(메모리스트<본>),tvN,3.408,케이블,20200430
3,슬기로운의사생활,tvN,3.335,케이블,20200430
4,YTN뉴스특보,YTN,2.535,케이블,20200430
5,YTN뉴스특보,YTN,2.342,케이블,20200430
6,YTN뉴스특보,YTN,2.054,케이블,20200430
7,YTN뉴스특보,YTN,2.034,케이블,20200430
8,뉴스특보코로나19COVID19,연합뉴스TV,2.024,케이블,20200430
9,연합뉴스TV뉴스19,연합뉴스TV,1.947,케이블,20200430
10,뉴스특보코로나19COVID19,연합뉴스TV,1.907,케이블,20200430
